id,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,authors_t,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym,IPNIPUB,label,refurl
urn:lsid:ipni.org:names:77367770-1,Zingiberaceae Alpinia biakensis R.M.Sm.,(R.M.Sm.),871913-1,,,261: 251,,,,,,,,,,,,18/08/2025 19:08,26/08/2025 09:41,,,Zingiberaceae,Hellwigia biakensis,Hellwigia biakensis,Hellwigia,(R.M.Sm.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 251. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,biakensis,,,f,t,,,,,,,R.M.Sm.@31423-1@3@bas$A.D.Poulsen@36097-1@2@aut$Senjaya@20091732-1@1@aut,,,comb. nov.,,1.4,f,hellwigia~biakensis,zingiberaceaehellwigia~biakensis~,,wfo-1000083721,,,,,,,PhytoKeys 261: 251 (2025),IPNI Record: 77367770-1,https://www.ipni.org/n/77367770-1
urn:lsid:ipni.org:names:77367771-1,Zingiberaceae Alpinia boia Seem.,(Seem.),795215-1,,,261: 251,,,,,,,,,,,,18/08/2025 19:09,26/08/2025 09:41,,,Zingiberaceae,Hellwigia boia,Hellwigia boia,Hellwigia,(Seem.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 251. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,boia,,,f,t,,,,,,,A.D.Poulsen@36097-1@2@aut$Seem.@9417-1@3@bas$Senjaya@20091732-1@1@aut,,,comb. nov.,,1.4,f,hellwigia~boia,zingiberaceaehellwigia~boia~,,wfo-1000083722,,,,,,,PhytoKeys 261: 251 (2025),IPNI Record: 77367771-1,https://www.ipni.org/n/77367771-1
urn:lsid:ipni.org:names:77367772-1,Zingiberaceae Alpinia calycodes K.Schum.,(K.Schum.),795226-1,,,261: 251,,,,,,,,,,,,18/08/2025 19:10,26/08/2025 09:41,,,Zingiberaceae,Hellwigia calycodes,Hellwigia calycodes,Hellwigia,(K.Schum.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 251. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,calycodes,,,f,t,,,,,,,A.D.Poulsen@36097-1@2@aut$Senjaya@20091732-1@1@aut$K.Schum.@9333-1@3@bas,,,comb. nov.,,1.4,f,hellwigia~calycodes,zingiberaceaehellwigia~calycodes~,,wfo-1000083723,,,,,,,PhytoKeys 261: 251 (2025),IPNI Record: 77367772-1,https://www.ipni.org/n/77367772-1
urn:lsid:ipni.org:names:77367773-1,Zingiberaceae Alpinia carinata Valeton,(Valeton),871925-1,,,261: 251,,,,,,,,,,,,18/08/2025 19:10,26/08/2025 09:41,,,Zingiberaceae,Hellwigia carinata,Hellwigia carinata,Hellwigia,(Valeton) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 251. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,carinata,,,f,t,,,,,,,A.D.Poulsen@36097-1@2@aut$Senjaya@20091732-1@1@aut$Valeton@11036-1@3@bas,,,comb. nov.,,1.4,f,hellwigia~carinata,zingiberaceaehellwigia~carinata~,,wfo-1000083724,,,,,,,PhytoKeys 261: 251 (2025),IPNI Record: 77367773-1,https://www.ipni.org/n/77367773-1
urn:lsid:ipni.org:names:77367774-1,Zingiberaceae Alpinia carolinensis Koidz.,(Koidz.),871926-1,,,261: 252,,,,,,,,,,,,18/08/2025 19:11,26/08/2025 09:41,,,Zingiberaceae,Hellwigia carolinensis,Hellwigia carolinensis,Hellwigia,(Koidz.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 252. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,carolinensis,,,f,t,,,,,,,Koidz.@4931-1@3@bas$Senjaya@20091732-1@1@aut$A.D.Poulsen@36097-1@2@aut,,,comb. nov.,,1.4,f,hellwigia~carolinensis,zingiberaceaehellwigia~carolinensis~,,wfo-1000083725,,,,,,,PhytoKeys 261: 252 (2025),IPNI Record: 77367774-1,https://www.ipni.org/n/77367774-1
urn:lsid:ipni.org:names:77367775-1,Zingiberaceae Alpinia celebica Ridl.,(Ridl.),1004462-1,,,261: 252,,,,,,,,,,,,18/08/2025 19:11,26/08/2025 09:41,,,Zingiberaceae,Hellwigia celebica,Hellwigia celebica,Hellwigia,(Ridl.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 252. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,celebica,,,f,t,,,,,,,Senjaya@20091732-1@1@aut$Ridl.@8381-1@3@bas$A.D.Poulsen@36097-1@2@aut,,,comb. nov.,,1.4,f,hellwigia~celebica,zingiberaceaehellwigia~celebica~,,wfo-1000083726,,,,,,,PhytoKeys 261: 252 (2025),IPNI Record: 77367775-1,https://www.ipni.org/n/77367775-1
urn:lsid:ipni.org:names:77367776-1,Zingiberaceae Alpinia chaunocolea K.Schum.,(K.Schum.),795236-1,,,261: 252,,,,,,,,,,,,18/08/2025 19:12,26/08/2025 09:41,,,Zingiberaceae,Hellwigia chaunocolea,Hellwigia chaunocolea,Hellwigia,(K.Schum.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 252. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,chaunocolea,,,f,t,,,,,,,K.Schum.@9333-1@3@bas$Senjaya@20091732-1@1@aut$A.D.Poulsen@36097-1@2@aut,,,comb. nov.,,1.4,f,hellwigia~chaunocolea,zingiberaceaehellwigia~chaunocolea~,,wfo-1000083727,,,,,,,PhytoKeys 261: 252 (2025),IPNI Record: 77367776-1,https://www.ipni.org/n/77367776-1
urn:lsid:ipni.org:names:77367777-1,Zingiberaceae Alpinia conferta B.L.Burtt & R.M.Sm.,(B.L.Burtt & R.M.Sm.),871928-1,,,261: 252,,,,,,,,,,,,18/08/2025 19:18,26/08/2025 09:41,,,Zingiberaceae,Hellwigia conferta,Hellwigia conferta,Hellwigia,(B.L.Burtt & R.M.Sm.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 252. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,conferta,,,f,t,,,,,,,B.L.Burtt@1315-1@3@bas$Senjaya@20091732-1@1@aut$R.M.Sm.@31423-1@4@bas$A.D.Poulsen@36097-1@2@aut,,,comb. nov.,,1.4,f,hellwigia~conferta,zingiberaceaehellwigia~conferta~,,wfo-1000083728,,,,,,,PhytoKeys 261: 252 (2025),IPNI Record: 77367777-1,https://www.ipni.org/n/77367777-1
urn:lsid:ipni.org:names:77367778-1,Zingiberaceae Alpinia conglomerata R.M.Sm.,(R.M.Sm.),871930-1,,,261: 253,,,,,,,,,,,,18/08/2025 19:19,26/08/2025 07:55,,,Zingiberaceae,Hellwigia conglomerata,Hellwigia conglomerata,Hellwigia,(R.M.Sm.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 253. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,conglomerata,,,f,t,,,,,,,Senjaya@20091732-1@1@aut$A.D.Poulsen@36097-1@2@aut$R.M.Sm.@31423-1@3@bas,,,comb. nov.,,1.4,f,hellwigia~conglomerata,zingiberaceaehellwigia~conglomerata~,,wfo-1000083729,,,,,,,PhytoKeys 261: 253 (2025),IPNI Record: 77367778-1,https://www.ipni.org/n/77367778-1
urn:lsid:ipni.org:names:77367779-1,Zingiberaceae Alpinia cylindrocephala K.Schum.,(K.Schum.),795252-1,,,261: 253,,,,,,,,,,,,18/08/2025 19:19,26/08/2025 09:41,,,Zingiberaceae,Hellwigia cylindrocephala,Hellwigia cylindrocephala,Hellwigia,(K.Schum.) Senjaya & A.D.Poulsen,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,41676-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [22 Aug 2025],[22 Aug 2025],Senjaya & A.D.Poulsen,spec.,PhytoKeys 261: 253. 2025 [22 Aug 2025] [epublished],[epublished],doi:10.3897/phytokeys.261.151948,,,11,cylindrocephala,,,f,t,,,,,,,A.D.Poulsen@36097-1@2@aut$K.Schum.@9333-1@3@bas$Senjaya@20091732-1@1@aut,,,comb. nov.,,1.4,f,hellwigia~cylindrocephala,zingiberaceaehellwigia~cylindrocephala~,,wfo-1000083730,,,,,,,PhytoKeys 261: 253 (2025),IPNI Record: 77367779-1,https://www.ipni.org/n/77367779-1
