id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym,pub,url,label
urn:lsid:ipni.org:names:136989-1,J.G.Ortega,,,,,,Fam. Cact. C.: 10,,,,,,,,,,,,02/07/2003 00:00,16/09/2025 16:25,,,Cactaceae,Opuntia robinsonii,Opuntia robinsonii,Opuntia,,f,f,,,,,,,,,,,,,,,,,,,,,,,,Mexico,,,,,30002080-2,Fl. Indíg. Sinaloa,urn:lsid:ipni.org:publications:16390-2,1929,1929,,J.G.Ortega,spec.,Fl. Indíg. Sinaloa Fam. Cact. C.: 10. 1929 ,,,,,8,robinsonii,,,f,t,,,,,,,J.G.Ortega@7171-1@1@aut,,,unknown,,1.1.2.1.1.2,t,opuntia~robinsonii,cactaceaeopuntia~robinsonii~,wfo-1000085063,,,,,,,Fl. Indíg. Sinaloa Fam. Cact. C.: 10 (1929),https://www.ipni.org/136989-1,IPNI Record: 136989-1
urn:lsid:ipni.org:names:23877-1,Horkel ex Schleid.,,,,,,13(4): 389,,,,,,,,,,,,02/07/2003 00:00,16/09/2025 16:28,,,Lemnaceae,Wolffia,Wolffia,Wolffia,,f,f,,,,,,,,,,,,,,,nom. rej.    non Horkel ex Schleiden 1844 (nom. cons.),nom. rej.,,,,,,,,"Benth. & Hook. f. iii. 1001 BRUNIERA, Franch. in Billotia (1864), 25. GRANTIA,Griff. ex Voigt, Hort. Suburb. Calc. 692 (1845); et Notul. iii. 223 (1851).HORKELIA, Reichb. ex Bartl. Ord. Nat. 76 (1830)",,,,,30000517-2,Linnaea,urn:lsid:ipni.org:publications:703-2,1839,1839 [Oct-Dec 1839],[Oct-Dec 1839],Horkel ex Schleid.,gen.,Linnaea 13(4): 389. 1839 [Oct-Dec 1839] ,,,,,8,,,,f,t,,,"W. delilii Schleid., nom. illeg. (Lemna hyalina Delile, W. hyalina (Delile) Hegelm.)",,,,Schleid.@0-0@2@autEx$Horkel@0-0@1@aut,,,tax. nov.,,1.3.2.1.1.2,f,wolffia,lemnaceaewolffia~~~,wfo-4100006272,,,,,,,Linnaea 13(4): 389 (1839),https://www.ipni.org/23877-1,IPNI Record: 23877-1
urn:lsid:ipni.org:names:254015-1,Terrac.,,,,,,"ser. 2, 6: 352",,,,,,,,,,,,02/07/2003 00:00,17/09/2025 07:18,,,Asteraceae,Taraxacum minimum,Taraxacum minimum,Taraxacum,,f,f,,,,,,,,,,,,,,,,,,,,,,,,Sicil.; Ital,,,,,328762-2,Atti Real(e) Ist. Incoragg. Sci. Nat. Napoli,urn:lsid:ipni.org:publications:16431-2,1869,1869,,Terrac.,spec.,"Atti Real(e) Ist. Incoragg. Sci. Nat. Napoli ser. 2, 6: 352. 1869 ",,,,,6,minimum,,,f,t,,,,,,,Terrac.@0-0@1@aut,,,unknown,,1.2.2.1.1.1.1.4,t,taraxacum~minimum,asteraceaetaraxacum~minimum~,wfo-1000085065,,,,,,,"Atti Real(e) Ist. Incoragg. Sci. Nat. Napoli ser. 2, 6: 352 (1869)",https://www.ipni.org/254015-1,IPNI Record: 254015-1
urn:lsid:ipni.org:names:258289-1,Klatt,,,,,,1,,,,,,,,,,,,02/07/2003 00:00,17/09/2025 08:03,,,Asteraceae,Vernonia elaeochroma,Vernonia elaeochroma,Vernonia,,f,f,,,,,,,,,,,,,,,,,,,,,,,,Bras,,,,,325949-2,Arbeiten Bot. Mus. Hamburg,urn:lsid:ipni.org:publications:17615-2,1890,1890,,Klatt,spec.,Arbeiten Bot. Mus. Hamburg 1. 1890 ; et in Jahrb. Hamb. Wiss. Anstalt. ix. (1892)123,; et in Jahrb. Hamb. Wiss. Anstalt. ix. (1892)123,,,,8,elaeochroma,,,f,t,,,,,,,Klatt@4831-1@1@aut,,,unknown,,1.1.2.1.1.2.1.1,t,vernonia~elaeochroma,asteraceaevernonia~elaeochroma~,wfo-1000084811,,,,,,,Arbeiten Bot. Mus. Hamburg 1 (1890),https://www.ipni.org/258289-1,IPNI Record: 258289-1
urn:lsid:ipni.org:names:856914-1,hort. ex Loudon,,,,,,3: 1377,,,,,,,,,,,,02/07/2003 00:00,17/09/2025 08:27,,,Ulmaceae,Ulmus planifolia,Ulmus planifolia,Ulmus,,f,f,,,,,,,,,,,,,,,,,,,,,,,,=uampestris,,,,,30004945-2,Arbor. Frutic. Brit.,urn:lsid:ipni.org:publications:7410-2,1838,1838,,hort. ex Loudon,spec.,Arbor. Frutic. Brit. 3: 1377. 1838 ,,,,,8,planifolia,,,f,t,,,,,,,hort.@35691-1@1@aut$Loudon@5771-1@2@autEx,,,unknown,,1.1.2.2.1.3,f,ulmus~planifolia,ulmaceaeulmus~planifolia~,wfo-1000084812,,,,,,,Arbor. Frutic. Brit. 3: 1377 (1838),https://www.ipni.org/856914-1,IPNI Record: 856914-1
urn:lsid:ipni.org:names:856932-1,hort. ex Loudon,,,,,,3: 1398,,,,,,,,,,,,02/07/2003 00:00,17/09/2025 08:28,,,Ulmaceae,Ulmus rubra,Ulmus rubra,Ulmus,,f,f,,,,,,,,,,,,,,,,,,,,,,,,=montana,,,,,30004945-2,Arbor. Frutic. Brit.,urn:lsid:ipni.org:publications:7410-2,1838,1838,,hort. ex Loudon,spec.,Arbor. Frutic. Brit. 3: 1398. 1838 ,,,,,8,rubra,,,f,t,,,,,,,Loudon@5771-1@2@autEx$hort.@35691-1@1@aut,,,unknown,,1.1.2.2.1.3,f,ulmus~rubra,ulmaceaeulmus~rubra~,wfo-1000085066,,,,,,,Arbor. Frutic. Brit. 3: 1398 (1838),https://www.ipni.org/856932-1,IPNI Record: 856932-1
urn:lsid:ipni.org:names:584236-1,Posada-Ar.,,,,,,9: 323,,,,,,,,,,,,02/07/2003 00:00,17/09/2025 10:26,,,Moraceae,Ficus venenata,Ficus venenata,Ficus,,f,f,,,,,,,,,,,,,,,,,,,,,,,,Am. trop,,,,,327905-2,Trav. Lab. Matiere Méd. Ecole Super. Pharm. Paris,urn:lsid:ipni.org:publications:16359-2,1913,1913 [1912 publ 1913],[1912 publ 1913],Posada-Ar.,spec.,"Trav. Lab. Matiere Méd. Ecole Super. Pharm. Paris 9: 323. 1913 [1912 publ 1913] , in obs., nomen",", in obs., nomen","Perrot & Vogt cite Arch. Med. Nav., Paris (1871) - possibly 'Ensayo etnográfico sobre los aborígenes del estado de Antioquia en Colombia'?",,,8,venenata,,,f,t,,,,,,,Posada-Ar.@7870-1@1@aut,,,unknown,,1.1.1.3,f,ficus~venenata,moraceaeficus~venenata~,wfo-1000084813,,,,,,,Trav. Lab. Matiere Méd. Ecole Super. Pharm. Paris 9: 323 (1913),https://www.ipni.org/584236-1,IPNI Record: 584236-1
urn:lsid:ipni.org:names:77177146-1,Reichling,,,,,,"n.s., 23: 129",,,,,,,,,,,,19/03/2018 15:44,17/09/2025 13:14,,,Poaceae,Hordeum × jungblutii,Hordeum × jungblutii,Hordeum,,t,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327148-2,"Arch. Trimestrielles Inst. Grand-Ducal Luxembourg, Sect. Sci. Nat.",urn:lsid:ipni.org:publications:20058153-1,1957,1957,,Reichling,spec.,"Arch. Trimestrielles Inst. Grand-Ducal Luxembourg, Sect. Sci. Nat. n.s., 23: 129. 1957 ",,,,,6,jungblutii,,,f,t,,,,,,,Reichling@0-0@1@aut,,,tax. nov.,,1.2,t,hordeum~jungblutii,poaceaehordeum~jungblutii~,wfo-1000048088,,,,,,,"Arch. Trimestrielles Inst. Grand-Ducal Luxembourg, Sect. Sci. Nat. n.s., 23: 129 (1957)",https://www.ipni.org/77177146-1,IPNI Record: 77177146-1
urn:lsid:ipni.org:names:136393-1,hort. ex Pfeiff.,,,,,,161,,,,,,,,,,,,02/07/2003 00:00,17/09/2025 15:26,,,Cactaceae,Opuntia bonplandii,Opuntia bonplandii,Opuntia,,f,f,,,,,,,,,,,,,,,nom. inval.    pro syn.,,nom. inval.,,,,,,,=Opuntia Tuna,,,,,30002080-2,Enum. Diagn. Cact.,urn:lsid:ipni.org:publications:11074-2,1837,1837 [19-25 Feb 1837],[19-25 Feb 1837],hort. ex Pfeiff.,spec.,Enum. Diagn. Cact. 161. 1837 [19-25 Feb 1837] ,,,,,10,bonplandii,,,f,t,,,,,,,Pfeiff.@24801-1@2@autEx$hort.@35691-1@1@aut,,,tax. nov.,,1.1.2.1.1.5,t,opuntia~bonplandii,cactaceaeopuntia~bonplandii~,wfo-1000085068,,,,,,,Enum. Diagn. Cact. 161 (1837),https://www.ipni.org/136393-1,IPNI Record: 136393-1
urn:lsid:ipni.org:names:286874-2,G.C.Chapm. & S.B.Jones,,,,,,7: 280,,,,,,13,,,D.Latorre,,,20/01/2004 00:00,18/09/2025 10:13,"Coahuila (Mexico, Northern America)",,Asteraceae,Vernonia greggii subsp. faustiana,Vernonia greggii subsp. faustiana,Vernonia,,f,f,,,,,faustiana,,,,,,,,,,,,,Asteraceae Vernonia faustiana (Chapm.) B.L.Turner,286870-2,,,,,,,,,,30006959-2,Sida,urn:lsid:ipni.org:publications:1068-2,1978,1978,,G.C.Chapm. & S.B.Jones,subsp.,Sida 7: 280. 1978 ,,,,"264109-2,878516-1",13,greggii,,,f,t,,holotype TEX,,,,,G.C.Chapm.@20012089-1@1@aut$S.B.Jones@4542-1@2@aut,,,tax. nov.,,1.6,t,vernonia~greggiifaustiana,asteraceaevernonia~greggiifaustiana,wfo-1200114876,,,,,,,Sida 7: 280 (1978),https://www.ipni.org/286874-2,IPNI Record: 286874-2
