id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym,name_pub,IPNIURL,IPNILabel
urn:lsid:ipni.org:names:77373640-1,Nägeli & Peter,,,,,,2: 60,,,,,,,,,,,,46006.4761,46021.3824,,,Asteraceae,Hieracium illyricum subsp. prediliense,Hieracium illyricum subsp. prediliense,Hieracium,,f,f,,,,,prediliense,,,,,,,,,,,,,,,,,,,,,,,,218569-1,Hierac. Mitt.-Eur.,urn:lsid:ipni.org:publications:16309-2,1886,1886 [Mar 1886],[Mar 1886],Nägeli & Peter,subsp.,Hierac. Mitt.-Eur. 2: 60. 1886 [Mar 1886] ,,,,,8,illyricum,Fr.,,f,t,,,,,,,Peter@7563-1@2@aut$Nägeli@12703-1@1@aut,Fr.@0-0@1@aut,,tax. nov.,,1.3,f,hieracium~illyricumprediliense,asteraceaehieracium~illyricumprediliense,602,wfo-0000111861,,subspecies,,,,,Hierac. Mitt.-Eur. 2: 60 (1886),https://www.ipni.org/n/77373640-1,IPNI Record: 77373640-1
urn:lsid:ipni.org:names:77373641-1,Murr,,,,,,53: 423,,,,,,,,,,,,46006.48146,46021.38333,,,Asteraceae,Hieracium lanceolatum subsp. juvonis,Hieracium lanceolatum subsp. juvonis,Hieracium,,f,f,,,,,juvonis,,,,,,,,,,,,,,,,,,,,,,,,219106-1,Oesterr. Bot. Z.,urn:lsid:ipni.org:publications:768-2,1903,1903,,Murr,subsp.,Oesterr. Bot. Z. 53: 423. 1903 ,,,,,8,lanceolatum,Vill.,,f,t,,,,,,,Murr@6802-1@1@aut,Vill.@0-0@1@aut,,tax. nov.,,1.1.1.2,f,hieracium~lanceolatumjuvonis,asteraceaehieracium~lanceolatumjuvonis,603,wfo-0000069117,,subspecies,,,,,Oesterr. Bot. Z. 53: 423 (1903),https://www.ipni.org/n/77373641-1,IPNI Record: 77373641-1
urn:lsid:ipni.org:names:77373642-1,(Murr) Zahn,Asteraceae Hieracium lanceolatum Vill. subsp. juvonis Murr,(Murr),77373641-1,,,"IV, 280: 757",,,,,,,,,,,,46006.48297,46021.38454,,,Asteraceae,Hieracium prenanthoides subsp. juvonis,Hieracium prenanthoides subsp. juvonis,Hieracium,,f,f,,,,,juvonis,,,,,,,,,,,,,,,,,,,,,,,null:,221711-1,Pflanzenr. (Engler),urn:lsid:ipni.org:publications:3295-2,1921,1921 [18 Oct 1921],[18 Oct 1921],Zahn,subsp.,"Pflanzenr. (Engler) IV, 280: 757. 1921 [18 Oct 1921] ",,,,,11,prenanthoides,Vill.,,f,t,,,,,,,Zahn@11976-1@1@aut$Murr@6802-1@2@bas,Vill.@28378-1@1@aut,,comb. nov.,,1.3,f,hieracium~prenanthoidesjuvonis,asteraceaehieracium~prenanthoidesjuvonis,604,wfo-0000102745,,subspecies,,,,,"Pflanzenr. (Engler) IV, 280: 757 (1921)",https://www.ipni.org/n/77373642-1,IPNI Record: 77373642-1
urn:lsid:ipni.org:names:77373643-1,Dunkel,,,,,,118: 18,,28,,4,,39590,2022,,F.G.Dunkel,,,46006.48309,46006.48309,"Croatia (Yugoslavia, Southeastern Europe, Europe)",E,Ranunculaceae,Ranunculus mutilicensis,Ranunculus mutilicensis,Ranunculus,,f,f,,,,,,,,44,29,46,"Lika-Senj County, Krbavsko polje, 11560.2, Mutilić, 100 m w D1, 500 m sw Galovći, 690 m",15,45,45,,,,,,N,,,,,,,,,30002060-2,Stapfia,urn:lsid:ipni.org:publications:2949-2,2024,2024 [28 Dec 2024],[28 Dec 2024],Dunkel,spec.,Stapfia 118: 18. 2024 [28 Dec 2024] [epublished],[epublished],doi:10.2478/stapfia-2024-0002 [english] Etymology: 'refers to the nearby village of Mutilić'.,,,11,mutilicensis,,,f,t,,holotype ZA;isotype GOET;isotype Herb. Dunkel 39590;isotype M,,,,,Dunkel@39858-1@1@aut,,,tax. nov.,,1.1,f,ranunculus~mutilicensis,ranunculaceaeranunculus~mutilicensis~,605,wfo-1000086870,,species,,,,,Stapfia 118: 18 (2024),https://www.ipni.org/n/77373643-1,IPNI Record: 77373643-1
urn:lsid:ipni.org:names:77373644-1,(Arv.-Touv.) Zahn,Asteraceae Hieracium transalpinum Arv.-Touv.,(Arv.-Touv.),224252-1,,,"IV, 280: 757",,,,,,,,,,,,46006.48422,46021.38536,,,Asteraceae,Hieracium prenanthoides subsp. transalpinum,Hieracium prenanthoides subsp. transalpinum,Hieracium,,f,f,,,,,transalpinum,,,,,,,,,,,,,,,,,,,,,,,null:,221711-1,Pflanzenr. (Engler),urn:lsid:ipni.org:publications:3295-2,1921,1921 [18 Oct 1921],[18 Oct 1921],Zahn,subsp.,"Pflanzenr. (Engler) IV, 280: 757. 1921 [18 Oct 1921] ",,,,,11,prenanthoides,Vill.,,f,t,,,,,,,Arv.-Touv.@298-1@2@bas$Zahn@11976-1@1@aut,Vill.@28378-1@1@aut,,comb. et stat. nov.,,1.3,f,hieracium~prenanthoidestransalpinum,asteraceaehieracium~prenanthoidestransalpinum,606,wfo-0000108531,,subspecies,,,,,"Pflanzenr. (Engler) IV, 280: 757 (1921)",https://www.ipni.org/n/77373644-1,IPNI Record: 77373644-1
urn:lsid:ipni.org:names:77373656-1,S.S.Ying,,,,,,8: 187,,17,,4,,s.n.,2025,,S.S.Ying,,,46006.4855,46006.50177,"Taiwan (Eastern Asia, Asia-Temperate)",,Poaceae,Arundinella yulaoensis,Arundinella yulaoensis,Arundinella,,f,f,,,,,,,,,,,"Between Yulao and Xiuluan, Jianshi Township, Hsinchu County, 1080 m",,,,,,,,,,,,,,,,,,17532-1,New Taxa New Names,urn:lsid:ipni.org:publications:20024339-1,2025,2025 [30 Nov 2025],[30 Nov 2025],S.S.Ying,spec.,New Taxa New Names 8: 187. 2025 [30 Nov 2025] [epublished],[epublished],[english],,,11,yulaoensis,,,f,t,,holotype TPRCH,,,,,S.S.Ying@11941-1@1@aut,,,tax. nov.,,1.3,f,arundinella~yulaoensis,poaceaearundinella~yulaoensis~,607,wfo-1000086871,,species,,,,,New Taxa New Names 8: 187 (2025),https://www.ipni.org/n/77373656-1,IPNI Record: 77373656-1
urn:lsid:ipni.org:names:77373660-1,S.S.Ying,,,,,,8: 194,,26,,4,,s.n.,2025,,S.S.Ying,,,46006.48553,46006.50006,"Taiwan (Eastern Asia, Asia-Temperate)",,Juncaceae,Juncus humilis,Juncus humilis,Juncus,,f,f,,,,,,,,,,,"Chushan, Alishan Township, Chiayi County, 2450 m",,,,,,,,,,,,,,,,,,30001343-2,New Taxa New Names,urn:lsid:ipni.org:publications:20024339-1,2025,2025 [30 Nov 2025],[30 Nov 2025],S.S.Ying,spec.,New Taxa New Names 8: 194. 2025 [30 Nov 2025] [epublished],[epublished],[english],,,11,humilis,,,f,t,,holotype TPRCH,,,,,S.S.Ying@11941-1@1@aut,,,tax. nov.,,1.4,f,juncus~humilis,juncaceaejuncus~humilis~,608,wfo-1000086872,,species,,,,,New Taxa New Names 8: 194 (2025),https://www.ipni.org/n/77373660-1,IPNI Record: 77373660-1
urn:lsid:ipni.org:names:77373661-1,Murr & Zahn,,,,,,53: 425,,,,,,,,,,,,46006.48685,46021.38648,,,Asteraceae,Hieracium pseudostenoplecum subsp. ochroleuciforme,Hieracium pseudostenoplecum subsp. ochroleuciforme,Hieracium,,f,f,,,,,ochroleuciforme,,,,,,,,,,,,,,,,,,,,,,,,222080-1,Oesterr. Bot. Z.,urn:lsid:ipni.org:publications:768-2,1903,1903,,Murr & Zahn,subsp.,Oesterr. Bot. Z. 53: 425. 1903 ,,,,,8,pseudostenoplecum,Zahn,,f,t,,,,,,,Zahn@11976-1@2@aut$Murr@6802-1@1@aut,Zahn@0-0@1@aut,,tax. nov.,,1.3,f,hieracium~pseudostenoplecumochroleuciforme,asteraceaehieracium~pseudostenoplecumochroleuciforme,609,wfo-1200067335,,subspecies,,,,,Oesterr. Bot. Z. 53: 425 (1903),https://www.ipni.org/n/77373661-1,IPNI Record: 77373661-1
urn:lsid:ipni.org:names:77373662-1,Dunkel,,,,,,118: 22,,22,,4,,35327,2018,,F.G.Dunkel,,,46006.48775,46006.48775,"Croatia (Yugoslavia, Southeastern Europe, Europe)",E,Ranunculaceae,Ranunculus dobranus,Ranunculus dobranus,Ranunculus,,f,f,,,,,,,,45,15,35,"Karlovac county, 10757.1, 1.8 km w Ogulin, nördliches Dobra-Ufer an der Brücke zwischen Puškarići und Sveti Petar, 320 m",15,13,24,,,,,,N,,,,,,,,,30002060-2,Stapfia,urn:lsid:ipni.org:publications:2949-2,2024,2024 [28 Dec 2024],[28 Dec 2024],Dunkel,spec.,Stapfia 118: 22. 2024 [28 Dec 2024] [epublished],[epublished],doi:10.2478/stapfia-2024-0002 [english] Etymology: 'refers to the type locality at the banks of the river Dobra'.,,,11,dobranus,,,f,t,,holotype ZA;isotype Herb. Dunkel 35327,,,,,Dunkel@39858-1@1@aut,,,tax. nov.,,1.1,f,ranunculus~dobranus,ranunculaceaeranunculus~dobranus~,610,wfo-1000086873,,species,,,,,Stapfia 118: 22 (2024),https://www.ipni.org/n/77373662-1,IPNI Record: 77373662-1
urn:lsid:ipni.org:names:77373663-1,Dunkel,,,,,,118: 23,,11,,4,,34896,2017,,F.G.Dunkel,,,46006.49078,46006.49078,"Croatia (Yugoslavia, Southeastern Europe, Europe)",E,Ranunculaceae,Ranunculus croaticola,Ranunculus croaticola,Ranunculus,,f,f,,,,,,,,45,55,52,"Slavonia, Sveti Ivan Žabno, Waldgebiet 1.5 km s Sv. Ivan, am E-Rand, 123 m",16,36,27,,,,,,N,,,,,,,,,30002060-2,Stapfia,urn:lsid:ipni.org:publications:2949-2,2024,2024 [28 Dec 2024],[28 Dec 2024],Dunkel,spec.,Stapfia 118: 23. 2024 [28 Dec 2024] [epublished],[epublished],doi:10.2478/stapfia-2024-0002 [english] Etymology: 'refers to the occurrence in Croatia'.,,,11,croaticola,,,f,t,,holotype ZA;isotype GOET;isotype Herb. Dunkel 34896;isotype M,,,,,Dunkel@39858-1@1@aut,,,tax. nov.,,1.1,f,ranunculus~croaticola,ranunculaceaeranunculus~croaticola~,611,wfo-1000086874,,species,,,,,Stapfia 118: 23 (2024),https://www.ipni.org/n/77373663-1,IPNI Record: 77373663-1
