id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym
urn:lsid:ipni.org:names:77366023-1,"(Ohwi) P.M.Peterson, Romasch. & Soreng",Poaceae Festuca extremiorientalis Ohwi,(Ohwi),402718-1,,,80(2): 212,,,,,,,,,,,,21/07/2025 15:57,21/07/2025 15:57,,,Poaceae,Hesperochloa extremiorientalis,Hesperochloa extremiorientalis,Hesperochloa,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291606-2,J. Pl. Taxon. & Geogr. (Webbia),urn:lsid:ipni.org:publications:20030053-1,2025,2025 [18 Jul 2025],[18 Jul 2025],"P.M.Peterson, Romasch. & Soreng",spec.,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 212. 2025 [18 Jul 2025] [epublished],[epublished],doi:10.36253/jopt-18242,,,11,extremiorientalis,,,f,t,,,,,,,P.M.Peterson@14873-1@1@aut$Romasch.@20015653-1@2@aut$Soreng@35734-1@3@aut$Ohwi@7112-1@4@bas,,,comb. nov.,,1.1,f,hesperochloa~extremiorientalis,poaceaehesperochloa~extremiorientalis~,450,wfo-1000083355,,species,,,,
urn:lsid:ipni.org:names:77366024-1,"(Vasey) P.M.Peterson, Romasch. & Soreng",Poaceae Melica hallii Vasey,(Vasey),280691-2,,,80(2): 212,,,,,,,,,,,,21/07/2025 15:58,21/07/2025 15:58,,,Poaceae,Hesperochloa hallii,Hesperochloa hallii,Hesperochloa,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291606-2,J. Pl. Taxon. & Geogr. (Webbia),urn:lsid:ipni.org:publications:20030053-1,2025,2025 [18 Jul 2025],[18 Jul 2025],"P.M.Peterson, Romasch. & Soreng",spec.,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 212. 2025 [18 Jul 2025] [epublished],[epublished],doi:10.36253/jopt-18242,,,11,hallii,,,f,t,,,,,,,Soreng@35734-1@3@aut$Vasey@11074-1@4@bas$P.M.Peterson@14873-1@1@aut$Romasch.@20015653-1@2@aut,,,comb. nov.,,1.1,f,hesperochloa~hallii,poaceaehesperochloa~hallii~,451,wfo-1000083356,,species,,,,
urn:lsid:ipni.org:names:77366025-1,Hershk.,,,,,,2(7): 328,,13,,9,,s.n.,2024,,Hershkovitz,,,21/07/2025 15:59,22/07/2025 09:37,"Coquimbo (Chile Central, Southern South America, Southern America)",W,Portulacaceae,Cistanthe reshetiana,Cistanthe reshetiana,Cistanthe,,f,f,,,,,,,,31,24,28,"Choapa Province, Canela Comuna, peak of ridge between the Pan-American Highway and the coast near Puerto Oscuro, 230 m",71,35,7,,,,,,S,,,,,,,,,30006895-2,Int. J. Adv. Res. Publ. Rev.,urn:lsid:ipni.org:publications:20058372-1,2025,2025 [21 Jul 2025],[21 Jul 2025],Hershk.,spec.,Int. J. Adv. Res. Publ. Rev. 2(7): 328. 2025 [21 Jul 2025] [epublished],[epublished],[english] Etymology: Named for Fundación Reshet in Chile.,,,11,reshetiana,,,f,t,,holotype SGO,,,,,Hershk.@35759-1@1@aut,,,tax. nov.,,1.3,f,cistanthe~reshetiana,portulacaceaecistanthe~reshetiana~,452,wfo-1000083357,,species,,,,
urn:lsid:ipni.org:names:77366026-1,"(Krivot.) P.M.Peterson, Romasch. & Soreng",Poaceae Festuca hubsugulica Krivot.,(Krivot.),402872-1,,,80(2): 212,,,,,,,,,,,,21/07/2025 16:00,21/07/2025 16:00,,,Poaceae,Hesperochloa hubsugulica,Hesperochloa hubsugulica,Hesperochloa,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291606-2,J. Pl. Taxon. & Geogr. (Webbia),urn:lsid:ipni.org:publications:20030053-1,2025,2025 [18 Jul 2025],[18 Jul 2025],"P.M.Peterson, Romasch. & Soreng",spec.,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 212. 2025 [18 Jul 2025] [epublished],[epublished],doi:10.36253/jopt-18242,,,11,hubsugulica,,,f,t,,,,,,,Soreng@35734-1@3@aut$P.M.Peterson@14873-1@1@aut$Krivot.@5071-1@4@bas$Romasch.@20015653-1@2@aut,,,comb. nov.,,1.1,f,hesperochloa~hubsugulica,poaceaehesperochloa~hubsugulica~,453,wfo-1000083358,,species,,,,
urn:lsid:ipni.org:names:77366027-1,"(Steud.) P.M.Peterson, Romasch. & Soreng",Poaceae Festuca modesta Steud.,(Steud.),403097-1,,,80(2): 212,,,,,,,,,,,,21/07/2025 16:01,22/07/2025 15:19,,,Poaceae,Hesperochloa modesta,Hesperochloa modesta,Hesperochloa,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291606-2,J. Pl. Taxon. & Geogr. (Webbia),urn:lsid:ipni.org:publications:20030053-1,2025,2025 [18 Jul 2025],[18 Jul 2025],"P.M.Peterson, Romasch. & Soreng",spec.,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 212. 2025 [18 Jul 2025] [epublished],[epublished],doi:10.36253/jopt-18242,,,11,modesta,,,f,t,,,,,,,Romasch.@20015653-1@2@aut$Soreng@35734-1@3@aut$Steud.@10122-1@4@bas$P.M.Peterson@14873-1@1@aut,,,comb. nov.,,1.2,f,hesperochloa~modesta,poaceaehesperochloa~modesta~,454,wfo-1000083359,,species,,,,
urn:lsid:ipni.org:names:77366028-1,Dorr,,,,,,260: 77,,4,,9,,8189,1999,,"H.D.Clarke, R.Williams &amp; C.Perry",,,21/07/2025 16:08,23/07/2025 15:26,"Guyana (Northern South America, Southern America)",W,Malvaceae,Callianthe clarkei,Callianthe clarkei,Callianthe,,f,f,,,,,,,,1,33,,"Upper Takutu-Upper Essequibo Region: Wassarai [Wassari] Mts., 0.5–1 km S of camp at base of highest peak, 275-400 m",59,14,,,,,,,N,,,,,,,,,77130187-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [23 Jul 2025],[23 Jul 2025],Dorr,spec.,PhytoKeys 260: 77. 2025 [23 Jul 2025] [epublished],[epublished],doi:10.3897/phytokeys.260.154906 [english] Etymology: 'The species epithet honours H. David Clarke'.,,,11,clarkei,,,f,t,,holotype US 01317225;isotype BRG;isotype GENT;isotype TEX,,,,,Dorr@14672-1@1@aut,,,tax. nov.,,1.3,f,callianthe~clarkei,malvaceaecallianthe~clarkei~,455,wfo-1000083360,,species,,,,
urn:lsid:ipni.org:names:77366029-1,(Planch.) Dorr,Malvaceae Abutilon insigne Planch.,(Planch.),558295-1,,,260: 79,,,,,,,,,,,,21/07/2025 16:10,23/07/2025 15:28,,,Malvaceae,Callianthe insignis,Callianthe insignis,Callianthe,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,77130187-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [23 Jul 2025],[23 Jul 2025],Dorr,spec.,PhytoKeys 260: 79. 2025 [23 Jul 2025] [epublished],[epublished],doi:10.3897/phytokeys.260.154906,,,11,insignis,,,f,t,,,,,,,Dorr@14672-1@1@aut$Planch.@7738-1@2@bas,,,comb. nov.,,1.3,f,callianthe~insignis,malvaceaecallianthe~insignis~,456,wfo-1000083361,,species,,,,
urn:lsid:ipni.org:names:77366030-1,"(Soreng, P.M.Peterson & Catalán) P.M.Peterson, Romasch. & Soreng","Poaceae Festuca molokaiensis Soreng, P.M.Peterson & Catalán","(Soreng, P.M.Peterson & Catalán)",77103405-1,,,80(2): 212,,,,,,,,,,,,21/07/2025 16:10,21/07/2025 16:10,,,Poaceae,Hesperochloa molokaiensis,Hesperochloa molokaiensis,Hesperochloa,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291606-2,J. Pl. Taxon. & Geogr. (Webbia),urn:lsid:ipni.org:publications:20030053-1,2025,2025 [18 Jul 2025],[18 Jul 2025],"P.M.Peterson, Romasch. & Soreng",spec.,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 212. 2025 [18 Jul 2025] [epublished],[epublished],doi:10.36253/jopt-18242,,,11,molokaiensis,,,f,t,,,,,,,Soreng@35734-1@4@bas$Catalán@16990-1@6@bas$Romasch.@20015653-1@2@aut$P.M.Peterson@14873-1@5@bas$P.M.Peterson@14873-1@1@aut$Soreng@35734-1@3@aut,,,comb. nov.,,1.1,f,hesperochloa~molokaiensis,poaceaehesperochloa~molokaiensis~,457,wfo-1000083362,,species,,,,
urn:lsid:ipni.org:names:77366031-1,"(Stapf) P.M.Peterson, Romasch. & Soreng",Poaceae Festuca nitidula Stapf,(Stapf),403167-1,,,80(2): 212,,,,,,,,,,,,21/07/2025 16:11,21/07/2025 16:11,,,Poaceae,Hesperochloa nitidula,Hesperochloa nitidula,Hesperochloa,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291606-2,J. Pl. Taxon. & Geogr. (Webbia),urn:lsid:ipni.org:publications:20030053-1,2025,2025 [18 Jul 2025],[18 Jul 2025],"P.M.Peterson, Romasch. & Soreng",spec.,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 212. 2025 [18 Jul 2025] [epublished],[epublished],doi:10.36253/jopt-18242,,,11,nitidula,,,f,t,,,,,,,P.M.Peterson@14873-1@1@aut$Soreng@35734-1@3@aut$Romasch.@20015653-1@2@aut$Stapf@27136-1@4@bas,,,comb. nov.,,1.1,f,hesperochloa~nitidula,poaceaehesperochloa~nitidula~,458,wfo-1000083363,,species,,,,
urn:lsid:ipni.org:names:77366032-1,Dorr,,,,,,260: 82,,17,,2,,28563,1973,,"J.Cuatrecasas, L.Ruiz-Terán, &amp; M.López-Figueiras",,,21/07/2025 16:12,23/07/2025 15:32,"Venezuela (Northern South America, Southern America)",,Malvaceae,Callianthe roseangelae,Callianthe roseangelae,Callianthe,,f,f,,,,,,,,,,,"Trujillo: Municipio ['Distrito'] Boconó, abajo del Páramo de La Cristalina: Quebrada de La Cañada, 2400 m",,,,,,,,,,,,,,,,,,77130187-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [23 Jul 2025],[23 Jul 2025],Dorr,spec.,PhytoKeys 260: 82. 2025 [23 Jul 2025] [epublished],[epublished],doi:10.3897/phytokeys.260.154906 [english] Etymology: 'The species epithet honours Rose Angela Gulledge'.,,,11,roseangelae,,,f,t,,"holotype US 04135468;isotype NY 04290815;isotype US 04135467, 04135469",,,,,Dorr@14672-1@1@aut,,,tax. nov.,,1.3,f,callianthe~roseangelae,malvaceaecallianthe~roseangelae~,459,wfo-1000083364,,species,,,,
