id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym
urn:lsid:ipni.org:names:77371268-1,Kim Thanh & V.S.Dang,,,,,,265: 196,,7,,5,,KT230507-03,2023,,Kim Thanh,,,29/10/2025 08:23,31/10/2025 15:10,"Vietnam (Indo-China, Asia-Tropical)",E,Euphorbiaceae,Mallotus thinii,Mallotus thinii,Mallotus,,f,f,,,,,,,,14,38,12,"Quang Ngai province, Sa Huynh commune, 100 meters from the beach, close to Ganh Mountain",109,4,1,,,,,,N,,,,,,,,,15617-1,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [31 Oct 2025],[31 Oct 2025],Kim Thanh & V.S.Dang,spec.,PhytoKeys 265: 196. 2025 [31 Oct 2025] [epublished],[epublished],doi:10.3897/phytokeys.265.166360 [english] Etymology: the species is named in honor of Professor Nguyen Nghia Thin,,,11,thinii,,,f,t,,holotype HNU HNU024793,,,,,Kim Thanh@20027036-1@1@aut$V.S.Dang@20028568-1@2@aut,,,tax. nov.,,1.3,f,mallotus~thinii,euphorbiaceaemallotus~thinii~,609,wfo-1000085637,,,,,,
urn:lsid:ipni.org:names:77371269-1,Less.,,,,,,5: 163,,,,,,,,,,,,29/10/2025 08:44,29/10/2025 10:03,,,Asteraceae,subtrib. Artemisiinae,subtrib. Artemisiinae,,,f,f,,,artemisiinae,,,,,,,,,,,,,,,,,,,,,,,,,,319342-2,Linnaea,urn:lsid:ipni.org:publications:703-2,1830,1830,,Less.,subtrib.,"Linnaea 5: 163. 1830 , as 'Artemisieae'",", as 'Artemisieae'",,,,8,,,,f,t,,,,,,,Less.@22263-1@1@aut,,,tax. nov.,,1.3,f,asteraceaeartemisiinae,asteraceae~~~~,610,wfo-4100006301,,,,,,
urn:lsid:ipni.org:names:77371271-1,Echtern. & R.Ramos,,,,,,726(1): 22,,8,,7,,2266,2012,,"L.Echternacht, T.V.Bastos &amp; J.Pimenta",,,29/10/2025 09:24,29/10/2025 09:24,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",,Eriocaulaceae,Comanthera gandarela,Comanthera gandarela,Comanthera,,f,f,,,,,,,,20,7,8,"Serra do Gandarela, próximo ao vilarejo do Palmital, 1585 m",43,39,16,,,,,,S,,,,,,,,,297129-2,Phytotaxa,urn:lsid:ipni.org:publications:20011462-1,2025,2025 [29 Oct 2025],[29 Oct 2025],Echtern. & R.Ramos,spec.,Phytotaxa 726(1): 22. 2025 [29 Oct 2025] [epublished],[epublished],doi:10.11646/phytotaxa.726.1.2 [english] Etymology: the specific epithet is named for the Serra do Gandarela National Park.,,,11,gandarela,,,f,t,,holotype OUPR;isotype BHCB;isotype HUFU;isotype UEC,,,,,Echtern.@20017604-1@1@aut$R.Ramos@20094055-1@2@aut,,,tax. nov.,,1.1,f,comanthera~gandarela,eriocaulaceaecomanthera~gandarela~,611,wfo-1000085578,,,,,,
urn:lsid:ipni.org:names:77371272-1,T.P.Lin,,,,,,726(1): 46,,15,,3,,,2025,,Sin-Yuan Zeng s.n.,,,29/10/2025 09:32,29/10/2025 09:32,"Taiwan (Eastern Asia, Asia-Temperate)",,Orchidaceae,Nervilia taitoensis var. parviflora,Nervilia taitoensis var. parviflora,Nervilia,,f,f,,,,,parviflora,,,,,,"Taichung City, Heping District, Taoshan tribal area, c. 800m",,,,,,,,,,,,,,,,,,645539-1,Phytotaxa,urn:lsid:ipni.org:publications:20011462-1,2025,2025 [29 Oct 2025],[29 Oct 2025],T.P.Lin,var.,Phytotaxa 726(1): 46. 2025 [29 Oct 2025] [epublished],[epublished],doi:10.11646/phytotaxa.726.1.4 [english] Etymology: 'The specific epithet 'parviflora' refers to the small flower.',,,10,taitoensis,Schltr.,,f,t,,holotype TAI TAI289930,,,,,T.P.Lin@35562-1@1@aut,Schltr.@9117-1@1@aut,,tax. nov.,,1.1,f,nervilia~taitoensisparviflora,orchidaceaenervilia~taitoensisparviflora,612,wfo-1200115038,,,,,,
urn:lsid:ipni.org:names:77371273-1,"Mustaqim, Yudistira & Victoriano",,,,,,726(1): 54,,1,,10,,3502,2024,,Mustaqim et al.,,,29/10/2025 09:41,29/10/2025 09:41,"Sumatera (Malesia, Asia-Tropical)",,Orchidaceae,Corybas gayoensis,Corybas gayoensis,Corybas,,f,f,,,,,,,,,,,"Sumatra, Aceh Province, Aceh Tengah Regency, Linge Subdistrict, Pantan Reduk Village, 1530 m",,,,,,,,,,,,,,,,,,325889-2,Phytotaxa,urn:lsid:ipni.org:publications:20011462-1,2025,2025 [29 Oct 2025],[29 Oct 2025],"Mustaqim, Yudistira & Victoriano",spec.,Phytotaxa 726(1): 54. 2025 [29 Oct 2025] [epublished],[epublished],"doi:10.11646/phytotaxa.726.1.5 [english] Etymology: the specific epithet is named for the Gayo Plateau, the type locality.",,,11,gayoensis,,,f,t,,holotype UIDEP;isotype FIPIA,,,,,Yudistira@20045086-1@2@aut$Mustaqim@20043161-1@1@aut$Victoriano@20045034-1@3@aut,,,tax. nov.,,1.1,f,corybas~gayoensis,orchidaceaecorybas~gayoensis~,613,wfo-1000085579,,,,,,
urn:lsid:ipni.org:names:77371274-1,Regel,,,,,,6(9): 135,,,,,,,,,,,,29/10/2025 11:56,29/10/2025 11:56,,,Gesneriaceae,Trevirana × bodmeri,Trevirana × bodmeri,Trevirana,,t,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17241-1,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1848,1848 [Sep 1848],[Sep 1848],Regel,spec.,Schweiz. Z. Gartenbau 6(9): 135. 1848 [Sep 1848] ,,,,,8,bodmeri,,,f,t,,,,,,,Regel@8237-1@1@aut,,,tax. nov.,,1.1,f,trevirana~bodmeri,gesneriaceaetrevirana~bodmeri~,614,wfo-1000085580,,,,,,
urn:lsid:ipni.org:names:77371275-1,Regel,,,,,,6(9): 135,,,,,,,,,,,,29/10/2025 11:58,29/10/2025 11:58,,,Gesneriaceae,Trevirana × baumannii,Trevirana × baumannii,Trevirana,,t,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17241-1,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1848,1848 [Sep 1848],[Sep 1848],Regel,spec.,"Schweiz. Z. Gartenbau 6(9): 135. 1848 [Sep 1848] , as 'Baumanni'",", as 'Baumanni'",,,,8,baumannii,,,f,t,,,,,,,Regel@8237-1@1@aut,,,tax. nov.,,1.1,f,trevirana~baumannii,gesneriaceaetrevirana~baumannii~,615,wfo-1000085581,,,,,,
urn:lsid:ipni.org:names:77371276-1,Regel,,,,,,6(9): 135,,,,,,,,,,,,29/10/2025 12:00,29/10/2025 12:00,,,Gesneriaceae,Trevirana × escheri,Trevirana × escheri,Trevirana,,t,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17241-1,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1848,1848 [Sep 1848],[Sep 1848],Regel,spec.,Schweiz. Z. Gartenbau 6(9): 135. 1848 [Sep 1848] ,,,,,8,escheri,,,f,t,,,,,,,Regel@8237-1@1@aut,,,tax. nov.,,1.1,f,trevirana~escheri,gesneriaceaetrevirana~escheri~,616,wfo-0001272762,,,,,,
urn:lsid:ipni.org:names:77371277-1,Regel,,,,,,7(2): 27,,,,,,,,,,,,29/10/2025 12:08,29/10/2025 12:08,,,Lamiaceae,Salvia warszewicziana,Salvia warszewicziana,Salvia,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000096-2,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1849,1849 [Feb 1849],[Feb 1849],Regel,spec.,Schweiz. Z. Gartenbau 7(2): 27. 1849 [Feb 1849] ,,,,,8,warszewicziana,,,f,t,,,,,,,Regel@8237-1@1@aut,,,tax. nov.,,1.1,f,salvia~warszewicziana,lamiaceaesalvia~warszewicziana~,617,wfo-1000085672,,,,,,
urn:lsid:ipni.org:names:77371278-1,Regel,,,,,,8(1): 9,,,,,,,,,,,,29/10/2025 12:31,29/10/2025 13:11,,,Gesneriaceae,Trevirana × boeckmannii,Trevirana × boeckmannii,Trevirana,,t,f,"383096-1,383093-1",(Trevirana longiflora D.Dietr. × Trevirana grandiflora Schiede),,,,,,,,,,,,,,,,,,,,,,,,,,,17241-1,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1850,1850 [Jan 1850],[Jan 1850],Regel,spec.,"Schweiz. Z. Gartenbau 8(1): 9. 1850 [Jan 1850] , as 'Trevirania boeckmanni'",", as 'Trevirania boeckmanni'",,,,8,boeckmannii,,,f,t,,,,,,,Regel@8237-1@1@aut,,,tax. nov.,,1.2,f,trevirana~boeckmannii,gesneriaceaetrevirana~boeckmannii~,618,wfo-1000085582,,,,,,
urn:lsid:ipni.org:names:77371279-1,(Kunth & C.D.Bouché) Regel,Gesneriaceae Gesneria ignorata Kunth & C.D.Bouché,(Kunth & C.D.Bouché),381049-1,,,8(2): 27,,,,,,,,,,,,29/10/2025 13:22,29/10/2025 13:22,,,Gesneriaceae,Kohleria ignorata,Kohleria ignorata,Kohleria,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17084-1,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1850,1850 [Feb 1850],[Feb 1850],Regel,spec.,Schweiz. Z. Gartenbau 8(2): 27. 1850 [Feb 1850] ,,,,,11,ignorata,,,f,t,,,,,,,Kunth@21866-1@2@bas$C.D.Bouché@1015-1@3@bas$Regel@8237-1@1@aut,,,comb. nov.,,1.1,f,kohleria~ignorata,gesneriaceaekohleria~ignorata~,619,wfo-1200115190,,,,,,
urn:lsid:ipni.org:names:77371281-1,(Link) hort. Turic. ex Regel,Liliaceae Plectogyne variegata Link,(Link),539950-1,,,8(5): 82,,,,,,,,,,,,29/10/2025 13:38,29/10/2025 13:40,,,Convallariaceae,Aspidistra variegata,Aspidistra variegata,Aspidistra,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24019-1,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1850,1850 [May 1850],[May 1850],hort. Turic. ex Regel,spec.,Schweiz. Z. Gartenbau 8(5): 82. 1850 [May 1850] ,,,,,9,variegata,,,f,t,,,,,,,hort. Turic.@0-0@1@aut$Link@22401-1@3@bas$Regel@8237-1@2@autEx,,,comb. nov.,,1.2,f,aspidistra~variegata,convallariaceaeaspidistra~variegata~,620,wfo-1200115191,,,,,,
urn:lsid:ipni.org:names:77371282-1,Regel,,,,,,8(12): 192,,,,,,,,,,,,29/10/2025 15:48,29/10/2025 15:48,,,Lythraceae,Cuphea elegans,Cuphea elegans,Cuphea,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000193-2,Schweiz. Z. Gartenbau,urn:lsid:ipni.org:publications:16731-2,1850,1850 [Dec 1850],[Dec 1850],Regel,spec.,Schweiz. Z. Gartenbau 8(12): 192. 1850 [Dec 1850] ,,,,,8,elegans,,,f,t,,,,,,,Regel@8237-1@1@aut,,,tax. nov.,,1.1,f,cuphea~elegans,lythraceaecuphea~elegans~,621,wfo-1200115194,,,,,,
